locality,UC,CH,S,ES,MA,OMS,SMS,PE,SA,GR
1,0,0.5%,0.0%,4.6%,5.5%,45.0%,17.0%,0.5%,0.0%,27.1%
2,0,0.4%,0.0%,10.9%,5.7%,40.9%,7.3%,1.2%,0.0%,33.6%
3,0,0.8%,0.0%,10.8%,7.9%,39.2%,20.0%,2.9%,0.0%,18.3%
4,0,0.9%,0.0%,9.4%,4.0%,36.8%,26.5%,0.9%,0.0%,21.5%
5,0,0.0%,0.0%,8.2%,2.9%,49.6%,20.1%,1.6%,0.0%,17.6%
6,0,2.6%,0.0%,15.6%,6.3%,28.9%,23.0%,5.2%,0.0%,18.5%
7,0,0.6%,0.0%,0.6%,0.0%,30.3%,51.7%,12.9%,0.0%,3.9%
8,0,1.1%,0.0%,5.6%,1.7%,33.3%,26.6%,7.3%,0.0%,24.3%
9,0,0.0%,0.0%,2.1%,6.1%,41.4%,37.5%,7.9%,0.0%,5.0%
10,0,0.0%,0.0%,1.5%,5.1%,44.2%,34.5%,6.1%,0.0%,8.6%
11,0,0.0%,0.0%,0.8%,4.1%,42.3%,34.6%,7.3%,0.0%,11.0%
12,0,0.0%,0.0%,10.0%,3.5%,42.3%,31.2%,2.7%,0.0%,10.4%
13,0,0.0%,0.0%,3.7%,2.9%,33.3%,53.5%,4.5%,0.0%,2.1%
14,0,0.4%,0.0%,2.0%,2.0%,46.7%,27.0%,1.6%,0.0%,20.1%
15,0,0.0%,0.0%,2.5%,3.4%,38.6%,44.9%,3.8%,0.0%,6.8%
16,0,0.4%,0.0%,1.7%,6.8%,40.9%,36.7%,3.4%,0.0%,10.1%
17,0,0.4%,0.0%,3.3%,6.2%,43.8%,28.1%,5.8%,0.0%,12.4%
18,0,0.0%,0.0%,2.3%,3.8%,44.2%,25.4%,3.8%,0.0%,20.4%
19,0,0.9%,0.0%,11.8%,5.7%,27.2%,18.9%,2.2%,0.0%,33.3%
20,0,0.8%,0.0%,4.6%,7.1%,42.9%,25.4%,2.1%,0.0%,17.1%
21,0,0.9%,0.0%,0.9%,4.5%,48.7%,34.4%,4.5%,0.0%,6.3%
22,0,0.0%,0.0%,2.0%,7.2%,45.0%,26.3%,3.6%,0.0%,15.9%
23,0,0.0%,0.0%,4.2%,4.6%,42.3%,21.8%,3.8%,0.0%,23.4%
24,0,0.0%,0.0%,7.6%,4.7%,39.8%,18.2%,1.3%,0.0%,28.4%
25,0,0.0%,0.0%,11.6%,4.0%,39.7%,19.2%,4.5%,0.0%,21.0%
26,0,0.4%,0.0%,15.2%,8.0%,31.7%,20.5%,4.5%,0.0%,19.6%
27,0,0.0%,0.0%,7.9%,7.5%,42.7%,28.9%,0.8%,0.0%,12.1%
28,0,0.0%,0.0%,2.7%,6.8%,42.1%,37.6%,2.7%,0.0%,8.1%
29,0,9.3%,0.0%,19.4%,6.9%,33.8%,12.0%,0.5%,0.0%,18.1%
30,0,1.7%,0.0%,14.3%,2.1%,32.8%,28.6%,2.9%,0.0%,17.6%
31,0,0.4%,0.0%,2.0%,6.0%,46.4%,32.7%,7.3%,0.0%,5.2%
32,0,0.0%,0.0%,6.8%,6.1%,56.3%,21.7%,1.9%,0.0%,7.2%
33,0,6.0%,0.0%,19.6%,4.0%,32.2%,20.1%,1.5%,0.0%,16.6%
34,0,0.0%,0.0%,1.9%,8.1%,45.7%,31.0%,5.2%,0.0%,8.1%
35,0,0.0%,0.0%,3.5%,11.9%,45.8%,24.9%,2.0%,0.0%,11.9%
36,0,5.8%,0.0%,49.0%,6.8%,16.5%,13.6%,2.9%,0.0%,5.3%
37,0,1.8%,0.0%,22.3%,11.6%,37.9%,17.9%,0.0%,0.0%,8.5%
38,0,3.3%,0.0%,24.9%,10.5%,22.0%,33.5%,2.9%,0.0%,2.9%
39,0,1.2%,0.0%,6.5%,16.5%,3.2%,62.1%,10.1%,0.0%,0.4%