"autoctr","sciname","StockCode","MaturityRefNo","Sex","AgeMatMin","AgeMatMin2","AgeMatRef","tm","Number","r2","SE_tm","SD_tm","LCL_tm","UCL_tm","LengthMatMin","LengthMatMin2","Type1","LengthMatRef","Lm","SE_Lm","SD_Lm","LCL_Lm","UCL_Lm","Locality","C_Code","E_CODE","Comment","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS","SpecCode"
6998,"Acanthocybium solandri",104,54183,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78696,95,NA,NA,NA,NA,"Bermuda","060",8,"Preliminary estimate.",3,"2008-09-03T00:00:00.000Z",NA,"2008-09-03T00:00:00.000Z",NA,NA,NA,89
6981,"Acanthocybium solandri",104,54183,"female",1,NA,78571,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL",78571,101,NA,NA,NA,NA,"North Carolina","840",140,NA,3,"2008-08-21T00:00:00.000Z",NA,"2008-08-21T00:00:00.000Z",NA,NA,NA,89
6978,"Acanthocybium solandri",104,54183,"female",NA,NA,78570,2,NA,NA,NA,NA,NA,NA,85,105,"FL",78570,102,NA,NA,NA,NA,"northern Gulf of Mexico","840",144,"100% maturity is reached at 105 cm FL.",3,"2008-08-21T00:00:00.000Z",NA,"2008-08-21T00:00:00.000Z",NA,NA,NA,89
6997,"Acanthocybium solandri",104,54183,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FL",78696,102,NA,NA,NA,NA,"Bermuda","060",8,"Preliminary estimate.",3,"2008-09-03T00:00:00.000Z",NA,"2008-09-03T00:00:00.000Z",NA,NA,NA,89
6980,"Acanthocybium solandri",104,54183,"male",1,NA,78571,NA,NA,NA,NA,NA,NA,NA,86,NA,"TL",78571,NA,NA,NA,NA,NA,"North Carolina","840",140,NA,3,"2008-08-21T00:00:00.000Z",NA,"2008-08-21T00:00:00.000Z",NA,NA,NA,89
6976,"Acanthocybium solandri",104,54183,"male",1,NA,78570,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FL",78570,93,NA,NA,NA,NA,"Northern Gulf of Mexico","840",144,"50% maturity is reached <93.5 cm FL.",3,"2008-08-21T00:00:00.000Z",NA,"2008-09-03T00:00:00.000Z",NA,NA,NA,89
5977,"Aethaloperca rogaa",6763,34166,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,"TL",34166,NA,NA,NA,NA,NA,"Asia-Pacific Region",NA,NA,NA,393,"2007-12-21T00:00:00.000Z",NA,"2007-12-21T00:00:00.000Z",NA,NA,NA,6441
3454,"Aethaloperca rogaa",6763,37816,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,"TL",NA,NA,NA,NA,NA,NA,"East Africa.",NA,NA,"Spawns the year round.",309,"2001-10-19T00:00:00.000Z",NA,"2001-10-19T00:00:00.000Z",NA,NA,NA,6441
8335,"Aethaloperca rogaa",6763,89707,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,"SL",89707,NA,NA,NA,NA,NA,"Indo-West Pacific",NA,NA,"Spawns at any time of the year (Ref. 89707).",2291,"2013-08-19T00:00:00.000Z",NA,"2013-08-19T00:00:00.000Z",NA,NA,NA,6441
5978,"Anyperodon leucogrammicus",5155,34166,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,"TL",34166,NA,NA,NA,NA,NA,"Asia-Pacific Region",NA,NA,NA,393,"2007-12-21T00:00:00.000Z",NA,"2007-12-21T00:00:00.000Z",NA,NA,NA,4922
242,"Aprion virescens",99,6089,"female",4,5,37816,NA,NA,NA,NA,NA,NA,NA,42.9,50,"FL",6089,44.9,NA,NA,NA,NA,"1984-86","840B",NA,NA,3,"1993-09-12T00:00:00.000Z",2,"2001-12-13T00:00:00.000Z",NA,NA,NA,84
243,"Aprion virescens",99,7194,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.7,NA,"FL",7194,63,NA,NA,NA,NA,"Seychelles","690",NA,"50 % of fish mature at 62-64 cm FL.",3,"1994-07-02T00:00:00.000Z",NA,"1994-10-01T00:00:00.000Z",NA,NA,NA,84
3520,"Aprion virescens",99,37816,"female",4,5,NA,NA,NA,NA,NA,NA,NA,NA,42,48,"FL",NA,NA,NA,NA,NA,NA,"Hawaii","840B",NA,"No specific area.",309,"2001-11-13T00:00:00.000Z",NA,"2001-11-13T00:00:00.000Z",NA,NA,NA,84
1722,"Caranx ignobilis",2091,4332,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FL",NA,65,NA,NA,NA,NA,"South Africa","710",NA,"Or 58 cm SL (Ref. 58350).",3,"1993-10-12T00:00:00.000Z",2,"2007-05-30T00:00:00.000Z",3,"1995-04-01T00:00:00.000Z",NA,1895
1723,"Caranx ignobilis",2091,6057,"female",NA,NA,6057,3.5,NA,NA,NA,NA,NA,NA,NA,NA,"SL",6057,60,NA,NA,NA,NA,"Northwestern Islands","840B",NA,NA,3,"1993-09-05T00:00:00.000Z",NA,"1993-09-05T00:00:00.000Z",NA,NA,NA,1895
1749,"Caranx lugubris",2132,26409,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,"FL",26415,NA,NA,NA,NA,NA,"Not specified.","388",NA,NA,3,"1998-04-22T00:00:00.000Z",NA,"1998-04-22T00:00:00.000Z",NA,NA,NA,1936
1750,"Caranx lugubris",2132,26409,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,"FL",26415,NA,NA,NA,NA,NA,"Not specified.","388",NA,NA,3,"1998-04-22T00:00:00.000Z",NA,"1998-04-22T00:00:00.000Z",NA,NA,NA,1936
1729,"Caranx melampygus",2102,6057,"female",NA,NA,6057,2,NA,NA,NA,NA,NA,NA,NA,NA,"SL",6057,35,NA,NA,NA,NA,"Northwestern Islands","840B",NA,NA,3,"1993-09-05T00:00:00.000Z",NA,"1993-09-05T00:00:00.000Z",NA,NA,NA,1906
5742,"Caranx sexfasciatus",2113,58350,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SL",4362,42,NA,NA,NA,NA,"southern African estuaries","710",NA,NA,2,"2007-05-30T00:00:00.000Z",NA,"2007-05-30T00:00:00.000Z",NA,NA,NA,1917
5979,"Cephalopholis argus",6717,34166,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,"TL",34166,NA,NA,NA,NA,NA,"Asia-Pacific Region",NA,NA,NA,393,"2007-12-21T00:00:00.000Z",NA,"2007-12-21T00:00:00.000Z",NA,NA,NA,6396
3458,"Cephalopholis argus",6717,37816,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,"SL",NA,NA,NA,NA,NA,NA,"Off east Africa.",NA,NA,"No country specified.",309,"2001-10-22T00:00:00.000Z",NA,"2001-10-22T00:00:00.000Z",NA,NA,NA,6396
5982,"Cephalopholis miniata",6772,34166,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,"TL",34166,NA,NA,NA,NA,NA,"Asia-Pacific Region",NA,NA,NA,393,"2007-12-21T00:00:00.000Z",NA,"2007-12-21T00:00:00.000Z",NA,NA,NA,6450
5984,"Cephalopholis sonnerati",6776,34166,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,"TL",34166,NA,NA,NA,NA,NA,"Asia-Pacific Region",NA,NA,NA,393,"2007-12-21T00:00:00.000Z",NA,"2007-12-21T00:00:00.000Z",NA,NA,NA,6454
3459,"Cephalopholis sonnerati",6776,37816,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,"SL",NA,NA,NA,NA,NA,NA,"Off east  Africa",NA,NA,NA,309,"2001-10-22T00:00:00.000Z",NA,"2001-10-22T00:00:00.000Z",NA,NA,NA,6454
3460,"Cephalopholis sonnerati",6776,37816,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,"SL",NA,NA,NA,NA,NA,NA,"Off east Africa.",NA,NA,NA,309,"2001-10-22T00:00:00.000Z",NA,"2007-05-31T00:00:00.000Z",NA,NA,NA,6454
6063,"Cheilinus undulatus",5896,34166,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,NA,"TL",34166,NA,NA,NA,NA,NA,"Asia-Pacific Region",NA,NA,NA,393,"2007-12-31T00:00:00.000Z",NA,"2007-12-31T00:00:00.000Z",NA,NA,NA,5604
4343,"Cheilinus undulatus",5896,51676,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,"TL",51676,NA,NA,NA,NA,NA,"not stated",NA,NA,NA,2,"2004-07-15T00:00:00.000Z",NA,"2004-07-15T00:00:00.000Z",NA,NA,NA,5604
4344,"Cheilinus undulatus",5896,51676,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.5,NA,"TL",51676,NA,NA,NA,NA,NA,"not stated",NA,NA,NA,2,"2004-07-15T00:00:00.000Z",NA,"2004-07-15T00:00:00.000Z",NA,NA,NA,5604
4345,"Cheilinus undulatus",5896,51676,"unsexed",5,7,51685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Great Barrier Reef","036",NA,NA,2,"2004-07-15T00:00:00.000Z",NA,"2004-07-15T00:00:00.000Z",NA,NA,NA,5604
4342,"Cheilinus undulatus",5896,51676,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,"TL",51676,NA,NA,NA,NA,NA,"not stated","585",NA,NA,2,"2004-07-15T00:00:00.000Z",NA,"2004-07-15T00:00:00.000Z",NA,NA,NA,5604
1660,"Coryphaena hippurus",1884,515,"female",0.5,0.58,515,NA,NA,NA,NA,NA,NA,NA,35,55,"FL",515,45,NA,NA,NA,NA,"Straits of Florida","840",NA,NA,3,"1994-04-13T00:00:00.000Z",NA,"2000-03-16T00:00:00.000Z",NA,NA,NA,6
1662,"Coryphaena hippurus",1884,515,"male",0.5,0.58,515,NA,NA,NA,NA,NA,NA,NA,42.7,NA,"FL",515,NA,NA,NA,NA,NA,"Straits of Florida","840",NA,NA,3,"1994-04-13T00:00:00.000Z",NA,"2000-03-16T00:00:00.000Z",NA,NA,NA,6
1659,"Coryphaena hippurus",1884,34148,"female",0.33,NA,6814,NA,NA,NA,NA,NA,NA,NA,NA,93.1,"FL",34161,66.7,NA,NA,NA,NA,"Barbados","052",NA,"Age at maturity needs verification.",3,"1994-04-13T00:00:00.000Z",3,"2014-10-15T00:00:00.000Z",NA,NA,NA,6
1661,"Coryphaena hippurus",1884,34148,"male",0.33,NA,6814,NA,NA,NA,NA,NA,NA,NA,NA,118,"FL",34161,80.5,NA,NA,NA,NA,"Barbados","052",NA,"Age at maturity needs verification.",3,"1994-04-13T00:00:00.000Z",3,"2014-10-14T00:00:00.000Z",NA,NA,NA,6
3109,"Coryphaena hippurus",1884,34148,"unsexed",0.33,NA,34153,NA,NA,NA,NA,NA,NA,NA,52.8,NA,"FL",34153,NA,NA,NA,NA,NA,"Gulf of Mexico","840",NA,NA,3,"2000-05-30T00:00:00.000Z",NA,"2000-05-30T00:00:00.000Z",NA,NA,NA,6
3108,"Coryphaena hippurus",1884,34148,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,60,"FL",34151,45,NA,NA,NA,NA,"Not specified.","630",NA,"Lm read off from fig. 2a in Ref. 34151.",3,"2000-05-30T00:00:00.000Z",NA,"2000-05-30T00:00:00.000Z",NA,NA,NA,6
3786,"Coryphaena hippurus",1884,41779,"unsexed",0.42,0.58,41779,NA,NA,NA,NA,NA,NA,NA,45,55,"SL",41779,NA,NA,NA,NA,NA,"Oceanic Institute hatcheries","840B",NA,"Weight: 1000-2000 g. Data taken from hatchery reared broodstock.",2,"2002-04-29T00:00:00.000Z",NA,"2002-04-29T00:00:00.000Z",NA,NA,NA,6
2507,"Epinephelus chlorostigma",5813,5222,"female",NA,NA,42001,2.5,NA,NA,NA,NA,NA,NA,23,29,"TL",5222,NA,NA,NA,NA,NA,"Seychelles","690",NA,NA,1,"1994-01-27T00:00:00.000Z",2,"2005-09-15T00:00:00.000Z",NA,NA,NA,5524
2508,"Epinephelus chlorostigma",5813,6975,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,6976,NA,NA,NA,NA,NA,"Seychelles","690",NA,NA,3,"1994-05-24T00:00:00.000Z",NA,"1999-05-11T00:00:00.000Z",NA,NA,NA,5524
2509,"Epinephelus chlorostigma",5813,6975,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,45,"TL",6976,39,NA,NA,NA,NA,"Seychelles","690",NA,NA,3,"1994-05-24T00:00:00.000Z",2,"2014-11-28T00:00:00.000Z",NA,NA,NA,5524
2510,"Epinephelus chlorostigma",5813,7194,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,"TL",7195,NA,NA,NA,NA,NA,"Red Sea","682",NA,NA,3,"1994-07-02T00:00:00.000Z",NA,"1994-07-02T00:00:00.000Z",NA,NA,NA,5524
5996,"Epinephelus chlorostigma",5813,34166,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,"TL",34166,NA,NA,NA,NA,NA,"Asia-Pacific Region",NA,NA,NA,393,"2007-12-27T00:00:00.000Z",NA,"2007-12-27T00:00:00.000Z",NA,NA,NA,5524
4009,"Epinephelus chlorostigma",5813,45887,"female",NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,"Red Sea","818",NA,NA,1057,"2003-02-24T00:00:00.000Z",NA,"2003-02-24T00:00:00.000Z",NA,NA,NA,5524
8370,"Epinephelus chlorostigma",5813,89707,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,"TL",89707,NA,NA,NA,NA,NA,"Not specified.","9999",NA,"Mature at 25 cm TL and sex schange occurs from 34 cm TL to 56 cm TL (Ref. 089707).",2291,"2013-09-03T00:00:00.000Z",NA,"2013-09-03T00:00:00.000Z",NA,NA,NA,5524
8558,"Epinephelus chlorostigma",5813,97769,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL",97769,28,NA,NA,NA,NA,"North Andhra Region (17°01'N-19°22'N; 83°23'E-85°14'E), Sept 2009-Oct 2011","356",NA,NA,2,"2014-12-01T00:00:00.000Z",NA,"2014-12-01T00:00:00.000Z",NA,NA,NA,5524
6000,"Epinephelus fasciatus",5587,34166,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,"TL",34166,NA,NA,NA,NA,NA,"Asia-Pacific Region",NA,NA,NA,393,"2007-12-27T00:00:00.000Z",NA,"2007-12-27T00:00:00.000Z",NA,NA,NA,5348
3462,"Epinephelus fasciatus",5587,37816,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,"SL",NA,NA,NA,NA,NA,NA,"East Africa",NA,NA,"Country not specified.",309,"2001-10-23T00:00:00.000Z",NA,"2001-10-23T00:00:00.000Z",NA,NA,NA,5348
3466,"Epinephelus fasciatus",5587,37816,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.5,NA,"SL",NA,NA,NA,NA,NA,NA,"Off East Africa.",NA,NA,"Country not specified.",309,"2001-10-23T00:00:00.000Z",NA,"2001-10-23T00:00:00.000Z",NA,NA,NA,5348
6002,"Epinephelus fuscoguttatus",4658,34166,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,"TL",34166,NA,NA,NA,NA,NA,"Asia-Pacific Region",NA,NA,NA,393,"2007-12-27T00:00:00.000Z",NA,"2007-12-27T00:00:00.000Z",NA,NA,NA,4460
6004,"Epinephelus lanceolatus",6790,34166,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,NA,"TL",34166,NA,NA,NA,NA,NA,"Asia-Pacific Region",NA,NA,NA,393,"2007-12-27T00:00:00.000Z",NA,"2007-12-27T00:00:00.000Z",NA,NA,NA,6468
6007,"Epinephelus malabaricus",6760,34166,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,NA,"TL",34166,NA,NA,NA,NA,NA,"Asia-Pacific Region",NA,NA,NA,393,"2007-12-27T00:00:00.000Z",NA,"2007-12-27T00:00:00.000Z",NA,NA,NA,6439
8554,"Epinephelus malabaricus",6760,97769,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL",97769,64,NA,NA,NA,NA,"North Andhra Region (17°01'N-19°22'N; 83°23'E-85°14'E), Sept 2009-Oct 2011","356",NA,NA,2,"2014-11-28T00:00:00.000Z",2,"2014-12-01T00:00:00.000Z",NA,NA,NA,6439
8561,"Epinephelus malabaricus",6760,97769,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL",97769,82,NA,NA,NA,NA,"North Andhra Region (17°01'N-19°22'N; 83°23'E-85°14'E), Sept 2009-Oct 2011","356",NA,NA,2,"2014-12-01T00:00:00.000Z",NA,"2014-12-01T00:00:00.000Z",NA,NA,NA,6439
6008,"Epinephelus merra",5156,34166,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,"TL",34166,NA,NA,NA,NA,NA,"Asia-Pacific Region",NA,NA,NA,393,"2007-12-27T00:00:00.000Z",NA,"2007-12-27T00:00:00.000Z",NA,NA,NA,4923
4198,"Epinephelus merra",5156,48600,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL",48600,11,NA,NA,NA,NA,"Lakshadweep lagoons, 1993-97","356",NA,NA,3,"2003-09-24T00:00:00.000Z",NA,"2003-09-24T00:00:00.000Z",NA,NA,NA,4923
2680,"Epinephelus multinotatus",7654,5222,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,"SL",6448,NA,NA,NA,NA,NA,"not known","834",NA,"At 3,600 g.",2,"1998-10-07T00:00:00.000Z",NA,"1998-10-07T00:00:00.000Z",NA,NA,NA,7354
6009,"Epinephelus multinotatus",7654,34166,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,"TL",34166,NA,NA,NA,NA,NA,"Asia-Pacific Region",NA,NA,NA,393,"2007-12-27T00:00:00.000Z",NA,"2007-12-27T00:00:00.000Z",NA,NA,NA,7354
6011,"Epinephelus polyphekadion",6795,34166,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,"TL",34166,NA,NA,NA,NA,NA,"Asia-Pacific Region",NA,NA,NA,393,"2007-12-27T00:00:00.000Z",NA,"2007-12-27T00:00:00.000Z",NA,NA,NA,6473
6013,"Epinephelus spilotoceps",6134,34166,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,"TL",34166,NA,NA,NA,NA,NA,"Aisa-Pacific Region",NA,NA,NA,393,"2007-12-28T00:00:00.000Z",NA,"2007-12-28T00:00:00.000Z",NA,NA,NA,5837
6016,"Epinephelus tukula",5814,34166,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,NA,"TL",34166,NA,NA,NA,NA,NA,"Aisa-Pacific Region",NA,NA,NA,393,"2007-12-28T00:00:00.000Z",NA,"2007-12-28T00:00:00.000Z",NA,NA,NA,5525
255,"Euthynnus affinis",110,168,"unsexed",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,65,"FL",NA,NA,NA,NA,NA,NA,"Indian Ocean",NA,NA,NA,2,"1990-10-19T00:00:00.000Z",3,"1994-09-29T00:00:00.000Z",NA,NA,NA,96
256,"Euthynnus affinis",110,168,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,"FL",NA,NA,NA,NA,NA,NA,"Philippines","608",NA,NA,18,"1994-03-16T00:00:00.000Z",NA,"1994-10-01T00:00:00.000Z",NA,NA,NA,96
